blockNumber,timeStamp,addr,name,symbol,decimals,totalsupply
16190301,2022-12-15 21:09:59,0x0FD10b9899882a6f2fcb5c371E17e70FdEe00C38,Pundi X Token,PUNDIX,18,258449911099924396455928086
16190301,2022-12-15 21:09:59,0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,USDT,6,32297366521996886
16190301,2022-12-15 21:09:59,0x6B175474E89094C44Da98b954EedeAC495271d0F,Dai Stablecoin,DAI,18,5129566624273826199116920648
16190301,2022-12-15 21:09:59,0xdB25f211AB05b1c97D595516F45794528a807ad8,STASIS EURS Token,EURS,2,12412594000
16190301,2022-12-15 21:09:59,0x514910771AF9Ca656af840dff83E8264EcF986CA,ChainLink Token,LINK,18,1000000000000000000000000000
16190301,2022-12-15 21:09:59,0xAE12C5930881c53715B369ceC7606B70d8EB229f,Coin98,C98,18,133888888000000000000000000
16190301,2022-12-15 21:09:59,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18,3733624319164986894316728
16190301,2022-12-15 21:09:59,0x4Fabb145d64652a948d72533023f6E7A623C7C53,Binance USD,BUSD,18,18556644751100000000000000000
16190301,2022-12-15 21:09:59,0x853d955aCEf822Db058eb8505911ED77F175b99e,Frax,FRAX,18,1023027133258784156507370384
16190301,2022-12-15 21:09:59,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,6,41832913114299550
